Symbol,Name,Sector
RELIANCE.NS,Reliance Industries,Energy
TCS.NS,Tata Consultancy Services,Technology
HDFCBANK.NS,HDFC Bank,Financials
INFY.NS,Infosys,Technology
ICICIBANK.NS,ICICI Bank,Financials
HINDUNILVR.NS,Hindustan Unilever,Consumer Defensive
ITC.NS,ITC,Consumer Defensive
SBIN.NS,State Bank of India,Financials
BHARTIARTL.NS,Bharti Airtel,Communication Services
KOTAKBANK.NS,Kotak Mahindra Bank,Financials
LTIM.NS,LTIMindtree,Technology
BAJFINANCE.NS,Bajaj Finance,Financials
TITAN.NS,Titan Company,Consumer Cyclical
AXISBANK.NS,Axis Bank,Financials
LT.NS,Larsen & Toubro,Industrials
ULTRACEMCO.NS,UltraTech Cement,Basic Materials
WIPRO.NS,Wipro,Technology
ASIANPAINT.NS,Asian Paints,Consumer Cyclical
HCLTECH.NS,HCL Technologies,Technology
MARUTI.NS,Maruti Suzuki,Consumer Cyclical
