Symbol,Name,Sector
AAPL,Apple Inc.,Technology
MSFT,Microsoft Corporation,Technology
GOOGL,Alphabet Inc.,Communication Services
AMZN,Amazon.com Inc.,Consumer Cyclical
TSLA,Tesla Inc.,Consumer Cyclical
NVDA,NVIDIA Corporation,Technology
META,Meta Platforms Inc.,Communication Services
BRK-B,Berkshire Hathaway Inc.,Financials
V,Visa Inc.,Financials
JNJ,Johnson & Johnson,Healthcare
WMT,Walmart Inc.,Consumer Defensive
JPM,JPMorgan Chase & Co.,Financials
PG,Procter & Gamble Co.,Consumer Defensive
MA,Mastercard Inc.,Financials
UNH,UnitedHealth Group,Healthcare
HD,Home Depot,Consumer Cyclical
BAC,Bank of America,Financials
DIS,Walt Disney,Communication Services
ADBE,Adobe Inc.,Technology
NFLX,Netflix Inc.,Communication Services
